Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,Datasheet,LCSC Stock,LCSC Price
1,2.7kHz,BUZZER1,BUZ-SMD_4P-L7.5-W7.5-BR,2.7kHz,SMD7525-16Ω,XHXDZ(兴华鑫),C49246950,LCSC,https://item.szlcsc.com/datasheet/SMD7525-16%25CE%25A9/51674919.html,1854,1.0614
1,4.7uF,C1,C1206,4.7uF,1206B475K500NT,FH(风华),C29823,LCSC,https://item.szlcsc.com/datasheet/1206B475K500NT/30577.html,16231,0.2316
6,10uF,"C2,C3,C4,C5,C10,C11",C0603,10uF,CL10A106KP8NNNC,SAMSUNG(三星),C19702,LCSC,https://item.szlcsc.com/datasheet/CL10A106KP8NNNC/20411.html,427048,0.0369
4,100nF,"C6,C7,C8,C12",C0603,100nF,CL10B104KB8NNNC,SAMSUNG(三星),C1591,LCSC,https://item.szlcsc.com/datasheet/CL10B104KB8NNNC/1943.html,360611,0.0164
1,10uF,C9,C0805,10uF,GRM21BR61H106KE43L,muRata(村田),C440198,LCSC,https://atta.szlcsc.com/upload/public/pdf/source/20230811/95AAE0C9AF55EDC31B7A4D8B733F534E.pdf,411303,0.3965
2,P6SMB6.8CA/TR13,"D1,D3",SMB_L4.6-W3.6-LS5.3-BI,,P6SMB6.8CA/TR13,Brightking(君耀电子),C78395,LCSC,https://item.szlcsc.com/datasheet/P6SMB6.8CA%252FTR13/79530.html,24074,0.3264
1,1N4148W,D2,SOD-123_L2.7-W1.6-LS3.7-FD,,1N4148W,R+O(宏嘉诚),C7420318,LCSC,https://item.szlcsc.com/datasheet/1N4148W/8397140.html,12349,0.0413
1,2.2uH,L1,IND-SMD_L2.5-W2.0_MHCHL2520,2.2uH,FTC252012S2R2MBCA,cjiang(长江微电),C5832372,LCSC,https://atta.szlcsc.com/upload/public/pdf/source/20230602/8FFEDA9C0247A92A0D4B67554BFE4091.pdf,25130,0.2046
1,LTST-C230KGKT,LED1,LED1206-RD_GREEN-SIDE,,LTST-C230KGKT,LITEON(光宝),C125106,LCSC,https://atta.szlcsc.com/upload/public/pdf/source/20180326/C125106_1C0EB3A9B8929036F2A82464184F463E.pdf,129,0.2379
1,2N7002,Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,2N7002,CJ(江苏长电/长晶),C8545,LCSC,https://item.szlcsc.com/datasheet/2N7002/9040.html,16250,0.0838
4,5.1kΩ,"R1,R7,R13,R17",R0603,5.1kΩ,0603WAF5101T5E,UNI-ROYAL(厚声),C23186,LCSC,https://item.szlcsc.com/datasheet/0603WAF5101T5E/23913.html,28324,0.0066
1,100kΩ,R2,R0603,100kΩ,0603WAF1003T5E,UNI-ROYAL(厚声),C25803,LCSC,https://item.szlcsc.com/datasheet/0603WAF1003T5E/26546.html,58064,0.0066
